# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=326898250
# chain_id=2
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-29.0662,0.74085,1.08176,2,3,0,29.795,-0.224105
-29.0081,1,0.952845,1,1,0,29.0629,-0.2528
-29.0478,0.964269,1.64457,1,1,0,29.0478,-0.446635
-29.0478,0.038906,2.56766,1,3,1,29.05,-0.446635
-29.0501,0.999529,0.376407,2,3,0,29.0737,-0.447696
-29.4567,0.86295,0.645214,2,3,0,30.5435,-0.568285
-29.4567,0.913758,0.778517,1,1,0,29.8312,-0.568285
-30.6567,0.631314,1.06311,1,1,0,30.7702,-0.754567
-30.4244,0.990445,0.718359,3,7,0,30.8094,-0.72559
-29.9362,1,1.17943,1,1,0,30.6551,-0.656156
-29.9362,6.44954e-10,1.96797,1,1,0,31.1331,-0.656156
-29.117,0.9996,0.289217,3,9,0,30.0063,-0.203875
-29.4295,0.992726,0.483272,3,7,0,29.4311,-0.562277
-29.1703,1,0.788692,1,1,0,29.3824,-0.493503
-29.2165,0.991283,1.30071,2,3,0,29.2189,-0.171157
-29.6952,0.164321,2.08723,1,3,0,29.9286,-0.615513
-28.9331,0.922978,0.480041,1,3,0,31.3143,-0.343361
-28.9958,0.986967,0.657214,1,3,0,29.0572,-0.260207
-29.2258,0.919289,1.03882,1,1,0,29.2334,-0.168408
-28.9405,1,1.39729,1,1,0,29.0399,-0.366961
-28.9797,0.934799,2.25083,1,1,0,29.0346,-0.407879
-28.9594,0.33343,3.10855,1,3,1,28.9955,-0.288048
-29.0113,0.978854,1.10258,1,1,0,29.0191,-0.251015
-28.9448,1,1.68107,1,1,0,28.9533,-0.373924
-28.9448,0.0594147,2.6727,1,1,0,28.9906,-0.373924
-29.1349,0.975986,0.527019,2,5,0,29.3086,-0.48157
-28.933,1,0.795715,2,3,0,29.115,-0.341062
-28.9331,0.999198,1.25996,2,3,0,28.9341,-0.335661
-28.9331,0.0155018,1.98083,1,1,0,29.5082,-0.335661
-29.0032,0.996981,0.36927,2,5,0,29.0448,-0.255717
-28.9774,0.996412,0.578719,2,5,0,29.0637,-0.406146
-29.1749,0.961198,0.90121,1,3,0,29.175,-0.495005
